nama_provinsi,kabupaten_kota,jumlah_kasus,satuan,tahun
Jawa Barat,Kabupaten Bogor,3477,ORANG,2016
Jawa Barat,Kabupaten Sukabumi,854,ORANG,2016
Jawa Barat,Kabupaten Cianjur,799,ORANG,2016
Jawa Barat,Kabupaten Bandung,3466,ORANG,2016
Jawa Barat,Kabupaten Garut,561,ORANG,2016
Jawa Barat,Kabupaten Tasikmalaya,478,ORANG,2016
Jawa Barat,Kabupaten Ciamis,748,ORANG,2016
Jawa Barat,Kabupaten Kuningan,1720,ORANG,2016
Jawa Barat,Kabupaten Cirebon,1877,ORANG,2016
Jawa Barat,Kabupaten Majalengka,322,ORANG,2016
Jawa Barat,Kabupaten Sumedang,944,ORANG,2016
Jawa Barat,Kabupaten Indramayu,911,ORANG,2016
Jawa Barat,Kabupaten Subang,699,ORANG,2016
Jawa Barat,Kabupaten Purwakarta,772,ORANG,2016
Jawa Barat,Kabupaten Karawang,1059,ORANG,2016
Jawa Barat,Kabupaten Bekasi,1802,ORANG,2016
Jawa Barat,Kabupaten Bandung Barat,1545,ORANG,2016
Jawa Barat,Kabupaten Pangandaran,137,ORANG,2016
Jawa Barat,Kota Bogor,1229,ORANG,2016
Jawa Barat,Kota Sukabumi,844,ORANG,2016
Jawa Barat,Kota Bandung,3881,ORANG,2016
Jawa Barat,Kota Cirebon,310,ORANG,2016
Jawa Barat,Kota Bekasi,3813,ORANG,2016
Jawa Barat,Kota Depok,2827,ORANG,2016
Jawa Barat,Kota Cimahi,1080,ORANG,2016
Jawa Barat,Kota Tasikmalaya,754,ORANG,2016
Jawa Barat,Kota Banjar,370,ORANG,2016
Jawa Barat,Kabupaten Bogor,277,ORANG,2017
Jawa Barat,Kabupaten Sukabumi,256,ORANG,2017
Jawa Barat,Kabupaten Cianjur,0,ORANG,2017
Jawa Barat,Kabupaten Bandung,1013,ORANG,2017
Jawa Barat,Kabupaten Garut,406,ORANG,2017
Jawa Barat,Kabupaten Tasikmalaya,224,ORANG,2017
Jawa Barat,Kabupaten Ciamis,47,ORANG,2017
Jawa Barat,Kabupaten Kuningan,728,ORANG,2017
Jawa Barat,Kabupaten Cirebon,274,ORANG,2017
Jawa Barat,Kabupaten Majalengka,112,ORANG,2017
Jawa Barat,Kabupaten Sumedang,184,ORANG,2017
Jawa Barat,Kabupaten Indramayu,113,ORANG,2017
Jawa Barat,Kabupaten Subang,104,ORANG,2017
Jawa Barat,Kabupaten Purwakarta,122,ORANG,2017
Jawa Barat,Kabupaten Karawang,102,ORANG,2017
Jawa Barat,Kabupaten Bekasi,332,ORANG,2017
Jawa Barat,Kabupaten Bandung Barat,201,ORANG,2017
Jawa Barat,Kabupaten Pangandaran,175,ORANG,2017
Jawa Barat,Kota Bogor,855,ORANG,2017
Jawa Barat,Kota Sukabumi,352,ORANG,2017
Jawa Barat,Kota Bandung,1786,ORANG,2017
Jawa Barat,Kota Cirebon,53,ORANG,2017
Jawa Barat,Kota Bekasi,699,ORANG,2017
Jawa Barat,Kota Depok,548,ORANG,2017
Jawa Barat,Kota Cimahi,313,ORANG,2017
Jawa Barat,Kota Tasikmalaya,298,ORANG,2017
Jawa Barat,Kota Banjar,63,ORANG,2017
Jawa Barat,Kabupaten Bogor,741,ORANG,2018
Jawa Barat,Kabupaten Sukabumi,233,ORANG,2018
Jawa Barat,Kabupaten Cianjur,113,ORANG,2018
Jawa Barat,Kabupaten Bandung,1774,ORANG,2018
Jawa Barat,Kabupaten Garut,331,ORANG,2018
Jawa Barat,Kabupaten Tasikmalaya,196,ORANG,2018
Jawa Barat,Kabupaten Ciamis,29,ORANG,2018
Jawa Barat,Kabupaten Kuningan,352,ORANG,2018
Jawa Barat,Kabupaten Cirebon,215,ORANG,2018
Jawa Barat,Kabupaten Majalengka,108,ORANG,2018
Jawa Barat,Kabupaten Sumedang,408,ORANG,2018
Jawa Barat,Kabupaten Indramayu,911,ORANG,2018
Jawa Barat,Kabupaten Subang,143,ORANG,2018
Jawa Barat,Kabupaten Purwakarta,263,ORANG,2018
Jawa Barat,Kabupaten Karawang,60,ORANG,2018
Jawa Barat,Kabupaten Bekasi,181,ORANG,2018
Jawa Barat,Kabupaten Bandung Barat,419,ORANG,2018
Jawa Barat,Kabupaten Pangandaran,75,ORANG,2018
Jawa Barat,Kota Bogor,727,ORANG,2018
Jawa Barat,Kota Sukabumi,238,ORANG,2018
Jawa Barat,Kota Bandung,2826,ORANG,2018
Jawa Barat,Kota Cirebon,24,ORANG,2018
Jawa Barat,Kota Bekasi,626,ORANG,2018
Jawa Barat,Kota Depok,891,ORANG,2018
Jawa Barat,Kota Cimahi,288,ORANG,2018
Jawa Barat,Kota Tasikmalaya,223,ORANG,2018
Jawa Barat,Kota Banjar,97,ORANG,2018
Jawa Barat,Kabupaten Bogor,1210,ORANG,2019
Jawa Barat,Kabupaten Sukabumi,616,ORANG,2019
Jawa Barat,Kabupaten Cianjur,643,ORANG,2019
Jawa Barat,Kabupaten Bandung,2635,ORANG,2019
Jawa Barat,Kabupaten Garut,769,ORANG,2019
Jawa Barat,Kabupaten Tasikmalaya,210,ORANG,2019
Jawa Barat,Kabupaten Ciamis,404,ORANG,2019
Jawa Barat,Kabupaten Kuningan,505,ORANG,2019
Jawa Barat,Kabupaten Cirebon,1291,ORANG,2019
Jawa Barat,Kabupaten Majalengka,457,ORANG,2019
Jawa Barat,Kabupaten Sumedang,663,ORANG,2019
Jawa Barat,Kabupaten Indramayu,222,ORANG,2019
Jawa Barat,Kabupaten Subang,270,ORANG,2019
Jawa Barat,Kabupaten Purwakarta,544,ORANG,2019
Jawa Barat,Kabupaten Karawang,199,ORANG,2019
Jawa Barat,Kabupaten Bekasi,511,ORANG,2019
Jawa Barat,Kabupaten Bandung Barat,1706,ORANG,2019
Jawa Barat,Kabupaten Pangandaran,158,ORANG,2019
Jawa Barat,Kota Bogor,611,ORANG,2019
Jawa Barat,Kota Sukabumi,786,ORANG,2019
Jawa Barat,Kota Bandung,4424,ORANG,2019
Jawa Barat,Kota Cirebon,135,ORANG,2019
Jawa Barat,Kota Bekasi,2373,ORANG,2019
Jawa Barat,Kota Depok,2200,ORANG,2019
Jawa Barat,Kota Cimahi,1020,ORANG,2019
Jawa Barat,Kota Tasikmalaya,658,ORANG,2019
Jawa Barat,Kota Banjar,62,ORANG,2019
Jawa Barat,Kabupaten Bogor,1296,ORANG,2020
Jawa Barat,Kabupaten Sukabumi,561,ORANG,2020
Jawa Barat,Kabupaten Cianjur,684,ORANG,2020
Jawa Barat,Kabupaten Bandung,2303,ORANG,2020
Jawa Barat,Kabupaten Garut,651,ORANG,2020
Jawa Barat,Kabupaten Tasikmalaya,179,ORANG,2020
Jawa Barat,Kabupaten Ciamis,1457,ORANG,2020
Jawa Barat,Kabupaten Kuningan,362,ORANG,2020
Jawa Barat,Kabupaten Cirebon,880,ORANG,2020
Jawa Barat,Kabupaten Majalengka,1153,ORANG,2020
Jawa Barat,Kabupaten Sumedang,707,ORANG,2020
Jawa Barat,Kabupaten Indramayu,214,ORANG,2020
Jawa Barat,Kabupaten Subang,283,ORANG,2020
Jawa Barat,Kabupaten Purwakarta,534,ORANG,2020
Jawa Barat,Kabupaten Karawang,1329,ORANG,2020
Jawa Barat,Kabupaten Bekasi,317,ORANG,2020
Jawa Barat,Kabupaten Bandung Barat,968,ORANG,2020
Jawa Barat,Kabupaten Pangandaran,196,ORANG,2020
Jawa Barat,Kota Bogor,241,ORANG,2020
Jawa Barat,Kota Sukabumi,651,ORANG,2020
Jawa Barat,Kota Bandung,4424,ORANG,2020
Jawa Barat,Kota Cirebon,171,ORANG,2020
Jawa Barat,Kota Bekasi,1646,ORANG,2020
Jawa Barat,Kota Depok,1276,ORANG,2020
Jawa Barat,Kota Cimahi,433,ORANG,2020
Jawa Barat,Kota Tasikmalaya,1409,ORANG,2020
Jawa Barat,Kota Banjar,146,ORANG,2020
Jawa Barat,Kabupaten Bogor,2220,ORANG,2021
Jawa Barat,Kabupaten Sukabumi,272,ORANG,2021
Jawa Barat,Kabupaten Cianjur,430,ORANG,2021
Jawa Barat,Kabupaten Bandung,2026,ORANG,2021
Jawa Barat,Kabupaten Garut,1011,ORANG,2021
Jawa Barat,Kabupaten Tasikmalaya,48,ORANG,2021
Jawa Barat,Kabupaten Ciamis,470,ORANG,2021
Jawa Barat,Kabupaten Kuningan,544,ORANG,2021
Jawa Barat,Kabupaten Cirebon,819,ORANG,2021
Jawa Barat,Kabupaten Majalengka,447,ORANG,2021
Jawa Barat,Kabupaten Sumedang,1264,ORANG,2021
Jawa Barat,Kabupaten Indramayu,188,ORANG,2021
Jawa Barat,Kabupaten Subang,287,ORANG,2021
Jawa Barat,Kabupaten Purwakarta,220,ORANG,2021
Jawa Barat,Kabupaten Karawang,929,ORANG,2021
Jawa Barat,Kabupaten Bekasi,370,ORANG,2021
Jawa Barat,Kabupaten Bandung Barat,419,ORANG,2021
Jawa Barat,Kabupaten Pangandaran,79,ORANG,2021
Jawa Barat,Kota Bogor,526,ORANG,2021
Jawa Barat,Kota Sukabumi,449,ORANG,2021
Jawa Barat,Kota Bandung,3743,ORANG,2021
Jawa Barat,Kota Cirebon,166,ORANG,2021
Jawa Barat,Kota Bekasi,1844,ORANG,2021
Jawa Barat,Kota Depok,3155,ORANG,2021
Jawa Barat,Kota Cimahi,590,ORANG,2021
Jawa Barat,Kota Tasikmalaya,909,ORANG,2021
Jawa Barat,Kota Banjar,29,ORANG,2021
Jawa Barat,Kabupaten Bogor,1953,ORANG,2022
Jawa Barat,Kabupaten Sukabumi,383,ORANG,2022
Jawa Barat,Kabupaten Cianjur,819,ORANG,2022
Jawa Barat,Kabupaten Bandung,4191,ORANG,2022
Jawa Barat,Kabupaten Garut,904,ORANG,2022
Jawa Barat,Kabupaten Tasikmalaya,319,ORANG,2022
Jawa Barat,Kabupaten Ciamis,702,ORANG,2022
Jawa Barat,Kabupaten Kuningan,1474,ORANG,2022
Jawa Barat,Kabupaten Cirebon,1815,ORANG,2022
Jawa Barat,Kabupaten Majalengka,641,ORANG,2022
Jawa Barat,Kabupaten Sumedang,2186,ORANG,2022
Jawa Barat,Kabupaten Indramayu,370,ORANG,2022
Jawa Barat,Kabupaten Subang,995,ORANG,2022
Jawa Barat,Kabupaten Purwakarta,412,ORANG,2022
Jawa Barat,Kabupaten Karawang,1320,ORANG,2022
Jawa Barat,Kabupaten Bekasi,1009,ORANG,2022
Jawa Barat,Kabupaten Bandung Barat,1260,ORANG,2022
Jawa Barat,Kabupaten Pangandaran,502,ORANG,2022
Jawa Barat,Kota Bogor,1531,ORANG,2022
Jawa Barat,Kota Sukabumi,1028,ORANG,2022
Jawa Barat,Kota Bandung,5205,ORANG,2022
Jawa Barat,Kota Cirebon,270,ORANG,2022
Jawa Barat,Kota Bekasi,2442,ORANG,2022
Jawa Barat,Kota Depok,2234,ORANG,2022
Jawa Barat,Kota Cimahi,675,ORANG,2022
Jawa Barat,Kota Tasikmalaya,1855,ORANG,2022
Jawa Barat,Kota Banjar,113,ORANG,2022
Jawa Barat,Kabupaten Bogor,1881,ORANG,2023
Jawa Barat,Kabupaten Sukabumi,113,ORANG,2023
Jawa Barat,Kabupaten Cianjur,829,ORANG,2023
Jawa Barat,Kabupaten Bandung,1005,ORANG,2023
Jawa Barat,Kabupaten Garut,730,ORANG,2023
Jawa Barat,Kabupaten Tasikmalaya,88,ORANG,2023
Jawa Barat,Kabupaten Ciamis,232,ORANG,2023
Jawa Barat,Kabupaten Kuningan,630,ORANG,2023
Jawa Barat,Kabupaten Cirebon,728,ORANG,2023
Jawa Barat,Kabupaten Majalengka,253,ORANG,2023
Jawa Barat,Kabupaten Sumedang,1308,ORANG,2023
Jawa Barat,Kabupaten Indramayu,218,ORANG,2023
Jawa Barat,Kabupaten Subang,618,ORANG,2023
Jawa Barat,Kabupaten Purwakarta,424,ORANG,2023
Jawa Barat,Kabupaten Karawang,991,ORANG,2023
Jawa Barat,Kabupaten Bekasi,726,ORANG,2023
Jawa Barat,Kabupaten Bandung Barat,1322,ORANG,2023
Jawa Barat,Kabupaten Pangandaran,253,ORANG,2023
Jawa Barat,Kota Bogor,1474,ORANG,2023
Jawa Barat,Kota Sukabumi,415,ORANG,2023
Jawa Barat,Kota Bandung,1856,ORANG,2023
Jawa Barat,Kota Cirebon,227,ORANG,2023
Jawa Barat,Kota Bekasi,1220,ORANG,2023
Jawa Barat,Kota Depok,1031,ORANG,2023
Jawa Barat,Kota Cimahi,350,ORANG,2023
Jawa Barat,Kota Tasikmalaya,353,ORANG,2023
Jawa Barat,Kota Banjar,53,ORANG,2023
Jawa Barat,Kabupaten Bogor,3404,ORANG,2024
Jawa Barat,Kabupaten Sukabumi,841,ORANG,2024
Jawa Barat,Kabupaten Cianjur,1932,ORANG,2024
Jawa Barat,Kabupaten Bandung,3589,ORANG,2024
Jawa Barat,Kabupaten Garut,3269,ORANG,2024
Jawa Barat,Kabupaten Tasikmalaya,763,ORANG,2024
Jawa Barat,Kabupaten Ciamis,1420,ORANG,2024
Jawa Barat,Kabupaten Kuningan,2165,ORANG,2024
Jawa Barat,Kabupaten Cirebon,1833,ORANG,2024
Jawa Barat,Kabupaten Majalengka,1275,ORANG,2024
Jawa Barat,Kabupaten Sumedang,2303,ORANG,2024
Jawa Barat,Kabupaten Indramayu,528,ORANG,2024
Jawa Barat,Kabupaten Subang,1929,ORANG,2024
Jawa Barat,Kabupaten Purwakarta,1088,ORANG,2024
Jawa Barat,Kabupaten Karawang,3279,ORANG,2024
Jawa Barat,Kabupaten Bekasi,1902,ORANG,2024
Jawa Barat,Kabupaten Bandung Barat,3754,ORANG,2024
Jawa Barat,Kabupaten Pangandaran,890,ORANG,2024
Jawa Barat,Kota Bogor,3117,ORANG,2024
Jawa Barat,Kota Sukabumi,1631,ORANG,2024
Jawa Barat,Kota Bandung,7680,ORANG,2024
Jawa Barat,Kota Cirebon,597,ORANG,2024
Jawa Barat,Kota Bekasi,4167,ORANG,2024
Jawa Barat,Kota Depok,5040,ORANG,2024
Jawa Barat,Kota Cimahi,850,ORANG,2024
Jawa Barat,Kota Tasikmalaya,1777,ORANG,2024
Jawa Barat,Kota Banjar,400,ORANG,2024
